neighbourhood_group,neighbourhood
Kreis 1,City
Kreis 1,Hochschulen
Kreis 1,Lindenhof
Kreis 1,Rathaus
Kreis 10,HÃ¶ngg
Kreis 10,Wipkingen
Kreis 11,Affoltern
Kreis 11,Oerlikon
Kreis 11,Seebach
Kreis 12,Hirzenbach
Kreis 12,Saatlen
Kreis 12,Schwamendingen-Mitte
Kreis 2,Enge
Kreis 2,Leimbach
Kreis 2,Wollishofen
Kreis 3,Alt-Wiedikon
Kreis 3,Friesenberg
Kreis 3,Sihlfeld
Kreis 4,Hard
Kreis 4,Langstrasse
Kreis 4,Werd
Kreis 5,Escher Wyss
Kreis 5,Gewerbeschule
Kreis 6,Oberstrass
Kreis 6,Unterstrass
Kreis 7,Fluntern
Kreis 7,Hirslanden
Kreis 7,Hottingen
Kreis 7,Witikon
Kreis 8,MÃ¼hlebach
Kreis 8,Seefeld
Kreis 8,Weinegg
Kreis 9,Albisrieden
Kreis 9,Altstetten
